Subject,Predicate,Object,ObjectLabel
S1987.2a-b,博物馆,弗利尔美术馆,museum
S2000.98,博物馆,弗利尔美术馆,museum
S1987.761,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.761,url
FSC-P-6966.10,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-6966.10,url
F1980.179,图片,https://ids.si.edu/ids/iiif/FS-7444_42/full/full/0/default.jpg,images
FSC-R-86a-b,图片,https://ids.si.edu/ids/iiif/FS-8449_01/full/full/0/default.jpg,images
S1987.524,博物馆,弗利尔美术馆,museum
F1911.94,博物馆,弗利尔美术馆,museum
S2012.9.3372a-b,博物馆,弗利尔美术馆,museum
F1969.5,图片,https://ids.si.edu/ids/iiif/FS-5954_03/full/full/0/default.jpg,images
F1991.7a-s,博物馆,弗利尔美术馆,museum
F1914.148,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.148,url
S2012.9.3724,图片,https://ids.si.edu/ids/iiif/FS-7715_17/full/full/0/default.jpg,images
FSC-P-2608,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-2608,url
S2012.9.2039a-b,图片,https://ids.si.edu/ids/iiif/FS-rls2923/full/full/0/default.jpg,images
FSC-B-374a-b,图片,https://ids.si.edu/ids/iiif/FS-FSC-B-374a-b_1/full/full/0/default.jpg,images
FSC-P-6966.4,图片,https://ids.si.edu/ids/iiif/FS-8160_04/full/full/0/default.jpg,images
F1911.68,图片,https://ids.si.edu/ids/iiif/FS-7700_01/full/full/0/default.jpg,images
FSC-R-370a-g,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-370a-g,url
S2012.9.1966,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1966,url
F1980.23,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.23,url
FSC-P-3538,博物馆,弗利尔美术馆,museum
S2012.9.948,图片,https://ids.si.edu/ids/iiif/FS-RLS1997.48.2581/full/full/0/default.jpg,images
S2012.9.3103,图片,https://ids.si.edu/ids/iiif/FS-7848_09/full/full/0/default.jpg,images
S2012.9.3219,图片,https://ids.si.edu/ids/iiif/FS-7782_13/full/full/0/default.jpg,images
FSC-B-300,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-300,url
FSC-R-136a-b,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-136a-b,url
S2012.9.2658,博物馆,弗利尔美术馆,museum
S2012.9.921,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.921,url
FSC-P-6966.17,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-6966.17,url
S1987.575,博物馆,弗利尔美术馆,museum
FSC-P-115,图片,https://ids.si.edu/ids/iiif/FS-FSC-P-115_001/full/full/0/default.jpg,images
FSC-P-142,图片,https://ids.si.edu/ids/iiif/FS-fsc-p-142v2/full/full/0/default.jpg,images
S2012.9.1289,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1289,url
FSC-P-461,博物馆,弗利尔美术馆,museum
F1973.1,博物馆,弗利尔美术馆,museum
F1968.27,图片,https://ids.si.edu/ids/iiif/FS-7477_37/full/full/0/default.jpg,images
F1907.34,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1907.34,url
S2012.9.2072.1-2,博物馆,弗利尔美术馆,museum
F1980.175,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.175,url
S2012.9.1273,博物馆,弗利尔美术馆,museum
S2012.9.4784,博物馆,弗利尔美术馆,museum
F1915.41,图片,https://ids.si.edu/ids/iiif/FS-7705_06/full/full/0/default.jpg,images
F1914.139,博物馆,弗利尔美术馆,museum
S2012.9.3780,博物馆,弗利尔美术馆,museum
F1917.378d,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.378d,url
S2012.9.1646,博物馆,弗利尔美术馆,museum
FSC-P-2879,博物馆,弗利尔美术馆,museum
S2000.111.1-2,博物馆,弗利尔美术馆,museum
S2012.9.4242,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4242,url
LTS1985.1.274.2,博物馆,弗利尔美术馆,museum
F1915.100,图片,https://ids.si.edu/ids/iiif/FS-F1915.100_001/full/full/0/default.jpg,images
F1915.15,图片,https://ids.si.edu/ids/iiif/FS-7395_25/full/full/0/default.jpg,images
F1916.456a-b,博物馆,弗利尔美术馆,museum
S2012.9.1737,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1737,url
F1911.34,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.34,url
F1916.268,博物馆,弗利尔美术馆,museum
FSC-P-3882,图片,https://ids.si.edu/ids/iiif/FS-FSC-P-3882_1-000001/full/full/0/default.jpg,images
S1987.34a-b,博物馆,弗利尔美术馆,museum
FSC-P-3826,图片,https://ids.si.edu/ids/iiif/FS-FSC-P-3826_1/full/full/0/default.jpg,images
F1911.297,图片,https://ids.si.edu/ids/iiif/FS-5712_10/full/full/0/default.jpg,images
S2012.9.2150,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2150,url
S2012.9.351,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.351,url
S2012.9.1822,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1822,url
F1911.163j,图片,https://ids.si.edu/ids/iiif/FS-7271_12/full/full/0/default.jpg,images
S2012.9.3711,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3711,url
S2012.9.264,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.264,url
S2012.9.2594,图片,https://ids.si.edu/ids/iiif/FS-rls_0452/full/full/0/default.jpg,images
S2012.9.2609,博物馆,弗利尔美术馆,museum
S2012.9.3248,图片,https://ids.si.edu/ids/iiif/FS-7847_19/full/full/0/default.jpg,images
S2012.9.1391,图片,https://ids.si.edu/ids/iiif/FS-7642_15/full/full/0/default.jpg,images
S2012.9.2488,博物馆,弗利尔美术馆,museum
S2012.9.491,图片,https://ids.si.edu/ids/iiif/FS-rls_4943/full/full/0/default.jpg,images
S2012.9.4495,博物馆,弗利尔美术馆,museum
S2012.9.2129,图片,https://ids.si.edu/ids/iiif/FS-7675_02/full/full/0/default.jpg,images
S2012.9.2510,图片,https://ids.si.edu/ids/iiif/FS-S2012.9.2510_001/full/full/0/default.jpg,images
F1916.178,图片,https://ids.si.edu/ids/iiif/FS-7607_29/full/full/0/default.jpg,images
S2012.9.3800,博物馆,弗利尔美术馆,museum
F1998.111.1-4,博物馆,弗利尔美术馆,museum
S2012.9.3063,图片,https://ids.si.edu/ids/iiif/FS-6139_12/full/full/0/default.jpg,images
F1998.90,博物馆,弗利尔美术馆,museum
S2012.9.3875,博物馆,弗利尔美术馆,museum
S2012.9.1627,博物馆,弗利尔美术馆,museum
FSC-P-2217,博物馆,弗利尔美术馆,museum
F1953.4a-b,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1953.4a-b,url
S2012.9.2395,博物馆,弗利尔美术馆,museum
F1980.49,图片,https://ids.si.edu/ids/iiif/FS-7503_09/full/full/0/default.jpg,images
F1909.355,博物馆,弗利尔美术馆,museum
FSC-P-922,图片,https://ids.si.edu/ids/iiif/FS-FSC-P-922_1/full/full/0/default.jpg,images
F1976.34,链接,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1976.34,url
F1911.134,博物馆,弗利尔美术馆,museum
F1916.153,博物馆,弗利尔美术馆,museum
F1917.244,图片,https://ids.si.edu/ids/iiif/FS-5455_03/full/full/0/default.jpg,images
