Subject,Predicate,Object,ObjectLabel
F1903.45,博物馆,史密斯,museum
F1916.345,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5971_01,images
S1995.63,博物馆,史密斯,museum
S2003.8.3029,博物馆,史密斯,museum
S2003.8.3284,博物馆,史密斯,museum
S2003.8.3414,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7609_05,images
S2003.8.1161,博物馆,史密斯,museum
F1913.160,博物馆,史密斯,museum
S2003.8.2305,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7611_19,images
S2003.8.984,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7976_10,images
FSC-T-10,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSC-T-10_1-000001,images
S2003.8.2027,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7963_15,images
S2003.8.1373,博物馆,史密斯,museum
S2003.8.3502,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7713_18,images
F1994.5,博物馆,史密斯,museum
S2003.8.3160,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_03,images
FSC-P-3678,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSC-P-3678_1-000001,images
S2003.8.3493,博物馆,史密斯,museum
S2003.8.3777,博物馆,史密斯,museum
S2003.8.708,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7529_05,images
F1911.366.2,博物馆,史密斯,museum
F1903.295,博物馆,史密斯,museum
S2003.8.2177,博物馆,史密斯,museum
S2003.8.2407,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7662_24,images
S2003.8.279,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7594_06,images
S2003.8.3400,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7964_19,images
FSC-P-4548,博物馆,史密斯,museum
F1913.47,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1913.47_001,images
S2009.1,图片,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7379_08,images
FSC-P-5704,博物馆,史密斯,museum
S2003.8.2487,博物馆,史密斯,museum
S1997.91,博物馆,史密斯,museum
