序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
15,S1987.302,Bell (bo) with dragons; probably from a set of four,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.302,https://ids.si.edu/ids/iiif/FS-S1987.302_001/full/full/0/default.jpg,"Jincun, Henan province, China",ca. 400-300 BCE,Bronze,H x W x D: 37 x 25.5 x 21 cm (14 9/16 x 10 1/16 x 8 1/4 in),,Gift of Arthur M. Sackler,,,
16,S2012.9.1931,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1931,https://ids.si.edu/ids/iiif/FS-7845_47/full/full/0/default.jpg,China,3rd century BCE,Bronze,H x W x D (overall): 19.5 x 1.8 x 3 cm (7 11/16 x 11/16 x 1 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
17,F1997.83.1-2,Couplet in running script,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1997.83.1-2,https://ids.si.edu/ids/iiif/FS-7490_41/full/full/0/default.jpg,China,20th century,Pair of hanging scrolls; ink on paper,H x W (.1 & .2 - each image): 138.2 x 33.4 cm (54 7/16 x 13 1/8 in),Shi Lu 石魯 (1919-1982),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,
18,FSC-P-914,Double-F vessel wall fragment,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-914,https://ids.si.edu/ids/iiif/FS-FSC-P-914_1/full/full/0/default.jpg,,700-300 BCE,Stoneware,,,Gift of John Hadley Cox,,,
19,S2012.9.2689,Garment hook (daigou) in the form of a Chinese lute with lozenges,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2689,https://ids.si.edu/ids/iiif/FS-7836_60/full/full/0/default.jpg,China,5th-4th century BCE,"Bronze with gold, silver, and turquoise inlay",H x W x D (overall): 3.2 x 23.6 x 3.5 cm (1 1/4 x 9 5/16 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
20,S2012.9.747,Bead,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.747,https://ids.si.edu/ids/iiif/FS-7674_07/full/full/0/default.jpg,China,,Glass,H x Diam (overall): 1.4 x 1.7 cm (9/16 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
21,S2012.9.3533,Figure of a young scholar,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3533,https://ids.si.edu/ids/iiif/FS-7840_09/full/full/0/default.jpg,China,12th-13th century,Unglazed stoneware with pigment,H x W x D (overall): 21.5 x 6.3 x 5.8 cm (8 7/16 x 2 1/2 x 2 5/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
22,FSC-P-793,Fragment,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-793,https://ids.si.edu/ids/iiif/FS-FSC-P-793_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
23,S2012.9.2402,Table screen,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2402,https://ids.si.edu/ids/iiif/FS-7846_47/full/full/0/default.jpg,China,late 19th century,Silver,H x W x D: 6.6 x 5.1 x 2 cm (2 5/8 x 2 x 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
24,FSC-B-109,Chinese bronze (reproduction); Modern ("Magic Mirror"),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-109,https://ids.si.edu/ids/iiif/FS-8504_11/full/full/0/default.jpg,China,,Bronze,Diam x D: 7.2 x 0.6 cm (2 13/16 x 1/4 in),,,,,
