序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
5136,S2012.9.1001,Figure,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1001,https://ids.si.edu/ids/iiif/FS-7862_13/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 1.5 x 1.5 x 1.5 cm (9/16 x 9/16 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5137,F2001.7,Figure of Wei Mo Chi from the Longmen Grottoes,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F2001.7,https://ids.si.edu/ids/iiif/FS-6202_12L/full/full/0/default.jpg,"Longmen Cave Temples, Cave 140 (Middle Bingyang Cave), east wall, Luoyang, Henan province, China",ca. 520,Limestone,H x W x D (overall): 170.5 x 141.4 x 16.4 cm (67 1/8 x 55 11/16 x 6 7/16 in),,"Bequest of Mr. and Mrs. Myron S. Falk, Jr.",,,
5138,S1987.572,Pendant with raised uniform curls,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.572,https://ids.si.edu/ids/iiif/FS-S1987.572_001/full/full/0/default.jpg,China,475-221 BCE,Jade (nephrite),H x W x D: 4.4 x 10 x 0.5 cm (1 3/4 x 3 15/16 x 3/16 in),,Gift of Arthur M. Sackler,,,
5139,F1913.23,Pedestal in form of lion and its keeper,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1913.23,https://ids.si.edu/ids/iiif/FS-7756_07/full/full/0/default.jpg,China,,Stone,H x W x D: 34.3 × 29 × 16 cm (13 1/2 × 11 7/16 × 6 5/16 in),,Gift of Charles Lang Freer,,,
5140,F1964.5a-l,"Poetic Concepts, inspired by the poems of Jiang Kui (ca. 1155-ca. 1235)",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1964.5a-l,https://ids.si.edu/ids/iiif/FS-6344_04/full/full/0/default.jpg,China,1774,Ink and color on paper,H x W (image each approximate): 24.1 × 30.6 cm (9 1/2 × 12 1/16 in),Luo Ping (1733-1799),Purchase — Charles Lang Freer Endowment,,,
5141,S2012.9.2363,Coin,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2363,https://ids.si.edu/ids/iiif/FS-7784_22/full/full/0/default.jpg,China,,Bronze,H x Diam (overall): 0.4 x 3.5 cm (3/16 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5142,F1917.59,Disk (bi),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.59,https://ids.si.edu/ids/iiif/FS-7678_14/full/full/0/default.jpg,China,206 BCE-220 CE,Jade,Diam x D: 20.8 x 1.1 cm (8 3/16 x 7/16 in),,Gift of Charles Lang Freer,,,
5143,F1916.157,"Six-tier tube (cong琮) with masks, probably recut",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.157,https://ids.si.edu/ids/iiif/FS-F1916.157_001/full/full/0/default.jpg,"Lake Tai region, China",ca. 3300-2250 BCE,Jade (nephrite),H x W x D: 18.8 x 7.7 x 7.8 cm (7 3/8 x 3 1/16 x 3 1/16 in),,Gift of Charles Lang Freer,,,
5144,S2012.9.1790,Spear point with human face in relief,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1790,https://ids.si.edu/ids/iiif/FS-6123_09/full/full/0/default.jpg,China,late 11th-10th century BCE,Bronze with ivory inlay,H x W x D (overall): 22.7 x 4.1 x 1.5 cm (8 15/16 x 1 5/8 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5145,F1915.222,Ornament in the form of possibly a monkey riding a horse,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1915.222,https://ids.si.edu/ids/iiif/FS-7705_26/full/full/0/default.jpg,"Inner Mongolia/Ordos, China",220-589,Bronze,H x W: 4.5 x 5.1 cm (1 3/4 x 2 in),,Gift of Charles Lang Freer,,,
5146,S1987.734,"Arc-shaped pendant, with added decoration",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.734,https://ids.si.edu/ids/iiif/FS-S1987.734_002/full/full/0/default.jpg,"Lake Tai region, China",ca. 3300-2250 BCE,Jade (nephrite),H x W x D: 4.4 x 6.3 x 0.5 cm (1 11/16 x 2 1/2 x 3/16 in),,Gift of Arthur M. Sackler,,,
5147,F1915.159,Garment hook (daigou) in the form of a bird,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1915.159,https://ids.si.edu/ids/iiif/FS-7690_10/full/full/0/default.jpg,China,206 BCE-220 CE,Bronze,H x W: 4.2 x 2.6 cm (1 5/8 x 1 in),,Gift of Charles Lang Freer,,,
5148,S2012.9.3030,Cheek piece,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3030,https://ids.si.edu/ids/iiif/FS-7671_22/full/full/0/default.jpg,China,5th century BCE,Bone,H x Diam (overall): 8.1 x 1.5 cm (3 3/16 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5149,S2012.9.2985,Plaque in the form of a dragon,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2985,https://ids.si.edu/ids/iiif/FS-7836_44/full/full/0/default.jpg,China,,Stone,H x W x D (overall): 8.4 x 12.8 x 0.4 cm (3 5/16 x 5 1/16 x 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5150,F1917.55,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.55,https://ids.si.edu/ids/iiif/FS-7624_29/full/full/0/default.jpg,China,,Jade,H x W x D: 2.3 x 3 x 3 cm (7/8 x 1 3/16 x 1 3/16 in),,Gift of Charles Lang Freer,,,
5151,S2012.9.2188,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2188,https://ids.si.edu/ids/iiif/FS-rls3024/full/full/0/default.jpg,China,206 BCE-317 CE,Bronze,H x Diam (overall): 1 x 11.4 cm (3/8 x 4 1/2 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5152,FSC-P-905,Fragment of a bowl with fluted walls,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-905,https://ids.si.edu/ids/iiif/FS-FSC-P-905_1/full/full/0/default.jpg,"Longquan, Zhejiang province, China",1279-1368,Stoneware with celadon glaze,,,Gift of John A. Pope,,,
5153,S2005.47,Kendi with molded and stamped decoration,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2005.47,https://ids.si.edu/ids/iiif/FS-7250_09/full/full/0/default.jpg,"Zhangzhou kilns, Fujian province, China",16th-17th century,Stoneware with copper-green lead glaze,H x W x D (overall): 18.2 x 16.5 x 14.8 cm (7 3/16 x 6 1/2 x 5 13/16 in),,"Gift of Osborne and Gratia Hauge, and Victor and Takako Hauge",,,
5154,F1911.525,Scenes from the Life of Tao Yuanming (part 1),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.525,https://ids.si.edu/ids/iiif/FS-7470_17/full/full/0/default.jpg,China,1368-1644,Ink on paper,H x W (image): 28.3 x 264 cm (11 1/8 x 103 15/16 in),,Gift of Charles Lang Freer,,,
5155,S2012.9.753,Scabbard,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.753,https://ids.si.edu/ids/iiif/FS-7838_16/full/full/0/default.jpg,China,2nd-1st century BCE,Glass,H x W (overall): 2.5 x 8.3 cm (1 x 3 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5156,F1912.20,Bracelet,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1912.20,https://ids.si.edu/ids/iiif/FS-7522_28/full/full/0/default.jpg,China,1644-1911,Jade,H x W: 2.1 x 8 cm (13/16 x 3 1/8 in),,Gift of Charles Lang Freer,,,
5157,F1916.263,Garment hook (daigou),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.263,https://ids.si.edu/ids/iiif/FS-7654_07/full/full/0/default.jpg,China,,Bronze,H x W: 13.3 x 1.6 cm (5 1/4 x 5/8 in),,Gift of Charles Lang Freer,,,
5158,F1918.6,"The Great Luohan, the Venerable Seventeenth 大阿羅漢尊者像",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1918.6,https://ids.si.edu/ids/iiif/FS-6126_08/full/full/0/default.jpg,China,1345,Ink and color on silk,H x W (image): 125.8 x 63 cm (49 1/2 x 24 13/16 in),Formerly attributed to Guanxiu (傳)貫休 (822-912),Gift of Charles Lang Freer,,,
5159,FSC-P-967,Blue-and-white vessel,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-967,https://ids.si.edu/ids/iiif/FS-FSC-P-967_1/full/full/0/default.jpg,China,,,,,,,,
5160,S1987.285,"Bell (yong) with masks, birds, and dragons; from a set",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.285,https://ids.si.edu/ids/iiif/FS-S1987.285_001/full/full/0/default.jpg,"Houma foundry, Shanxi province, China",ca. 500-450 BCE,Bronze,H x W x D: 46.5 x 24 x 7 cm (18 5/16 x 9 7/16 x 2 3/4 in),,Gift of Arthur M. Sackler,,,
5161,S1992.66,"""Sima Qian""",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1992.66,https://ids.si.edu/ids/iiif/FS-8336_22/full/full/0/default.jpg,China,1986,Ink and color on paper,H x W: 191.8 x 161.3 cm (75 1/2 x 63 1/2 in),Wang Yishi (China),Gift of the B.Y. Lam Foundation,,,
5162,S2012.9.4329,Lion,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4329,https://ids.si.edu/ids/iiif/FS-0880_Singer1368/full/full/0/default.jpg,China,8th century,Gilt bronze,H x Diam (overall): 5.8 x 3.8 cm (2 5/16 x 1 1/2 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5163,F1917.413,Brocade mat,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.413,https://ids.si.edu/ids/iiif/FS-7868_29/full/full/0/default.jpg,China,19th century,Silk,Diam: 81.5 cm (32 1/16 in),,Gift of Charles Lang Freer,,,
5164,FSC-P-646,"Rim fragment of bowl, number on piece 98/17",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-646,https://ids.si.edu/ids/iiif/FS-FSC-P-646_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
5165,F1911.157a-h,Eight designs of flowers,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.157a-h,https://ids.si.edu/ids/iiif/FS-7436_45/full/full/0/default.jpg,China,1368-1644,Ink and color on silk,"H x W (image, each): 45.6 x 36.7 cm (17 15/16 x 14 7/16 in)",Formerly attributed to Huang Jucai (933-after 993),Gift of Charles Lang Freer,,,
5166,S2012.9.1134,Finial,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1134,https://ids.si.edu/ids/iiif/FS-7642_28/full/full/0/default.jpg,China,7th-6th century BCE,Jade,H x Diam (overall): 3.9 x 1.9 cm (1 9/16 x 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5167,S2012.9.3492,Jar with handle,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3492,https://ids.si.edu/ids/iiif/FS-7834_62/full/full/0/default.jpg,China,5th-4th century BCE,Stoneware with ash glaze,H x W x D (overall): 15 x 16 x 13.3 cm (5 7/8 x 6 5/16 x 5 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5168,FSC-R-208,Rubbing of stone relief,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-208,https://ids.si.edu/ids/iiif/FS-8518_04/full/full/0/default.jpg,China,,Ink on paper,,,,,,
5169,FSC-R-364,Rubbing of stone statue of the Buddha,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-364,https://ids.si.edu/ids/iiif/FS-8496_27/full/full/0/default.jpg,China,,Ink on paper,,,,,,
5170,S2012.9.986,Winged figure,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.986,https://ids.si.edu/ids/iiif/FS-7833_05/full/full/0/default.jpg,China,6th century,Jade,H x W x D (overall): 4.7 x 2.1 x 1.3 cm (1 7/8 x 13/16 x 1/2 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5171,S2012.9.1916,Halberd blade,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1916,https://ids.si.edu/ids/iiif/FS-rls4031/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 21.6 x 12.6 x 0.9 cm (8 1/2 x 4 15/16 x 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5172,FSC-B-89a-b,Three-legged Ting in animal shape; removable lid,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-89a-b,https://ids.si.edu/ids/iiif/FS-FSC-B-89a-b_1-000001/full/full/0/default.jpg,China,,Bronze,,,,,,
5173,F1911.504a-t,Twenty leaves of the ficus religiosa,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.504a-t,https://ids.si.edu/ids/iiif/FS-6272_01/full/full/0/default.jpg,China,1644-1911,Ink on leaves,H x W (a: image): 15 x 10.9 cm (5 7/8 x 4 5/16 in),,Gift of Charles Lang Freer,,,
5174,S1987.204.11,Reminiscences of Nanjing: Old Gingko at Mt. Chinglong,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.204.11,https://ids.si.edu/ids/iiif/FS-8132_23/full/full/0/default.jpg,"Nanjing, China",1707,Ink and color on paper,H x W (image): 23.8 x 19.2 cm (9 3/8 x 7 9/16 in),Shitao (1642-1707),Gift of Arthur M. Sackler,,,
5175,F1916.345,Kneeling winged monster,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.345,https://ids.si.edu/ids/iiif/FS-5971_01/full/full/0/default.jpg,"Northern Xiangtangshan, Middle Cave, Hebei province, China",550-577,Limestone freestanding sculpture,H x W x D: 88.4 x 47.3 x 28.5 cm (34 13/16 x 18 5/8 x 11 1/4 in),,Gift of Charles Lang Freer,,,
5176,FSC-B-492,Chinese mirror suspension,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-492,https://ids.si.edu/ids/iiif/FS-FSC-B-492_1-000001/full/full/0/default.jpg,China,,Bronze,,,Gift of George Jackson Eder,,,
5177,FSC-R-132,Rubbing of bronze mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-132,https://ids.si.edu/ids/iiif/FS-8447_12/full/full/0/default.jpg,China,,Ink on paper,,,,,,
5178,S2012.9.4738,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4738,https://ids.si.edu/ids/iiif/FS-7830_38/full/full/0/default.jpg,China,,Brass,H x W x D (overall): 5.6 x 3.9 x 2.2 cm (2 3/16 x 1 9/16 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5179,S2012.9.106,Head ornament with mask,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.106,https://ids.si.edu/ids/iiif/FS-S2012.9.106_001/full/full/0/default.jpg,China,20th century,Jade (nephrite),H x W x D: 3.9 × 6.2 × 0.4 cm (1 9/16 × 2 7/16 × 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5180,F1917.230a-b,Cylindrical box with cover,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.230a-b,https://ids.si.edu/ids/iiif/FS-7049_07/full/full/0/default.jpg,China,late 11th-early 12th century,"Stoneware with copper-green, iron-yellow and clear lead-silicate glazes",H x W: 5.7 x 9.8 cm (2 1/4 x 3 7/8 in),,Gift of Charles Lang Freer,,,
5181,S2012.9.1465,Ornament with raised pyramids arranged in a grid,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1465,https://ids.si.edu/ids/iiif/FS-S2012.9.1465_001/full/full/0/default.jpg,China,206 BCE-9 CE,Jade (nephrite),H x W x D (overall): 23.5 x 6 x 1.2 cm (9 1/4 x 2 3/8 x 1/2 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5182,F1980.166,Boat in Storm,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.166,https://ids.si.edu/ids/iiif/FS-7489_33/full/full/0/default.jpg,China,early to mid-18th century,Ink on paper,H x W: 90 x 49 cm (35 7/16 x 19 5/16 in),Zhu Lunhan (1680-1760),"Transfer from the United States Customs Service, Department of the Treasury",,,
5183,F1907.71,Water pot,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1907.71,https://ids.si.edu/ids/iiif/FS-7368_06/full/full/0/default.jpg,"Shiwan (Shekwan) kilns, Foshan, Guangdong province, China",19th century,Porcelain with iron wash and copper-green and iron-brown glazes,H x Diam: 5.7 × 16.2 cm (2 1/4 × 6 3/8 in),,Gift of Charles Lang Freer,,,
5184,FSC-B-518a-f,"Fragments of Mirror. Black, ""Huai style""",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-518a-f,https://ids.si.edu/ids/iiif/FS-8513_29/full/full/0/default.jpg,"North Gate of Changsha Tomb, China",,,H (overall): 12.1 cm (4 3/4 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
5185,FSC-P-540,Fragment of base of cup or tea-bowl,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-540,https://ids.si.edu/ids/iiif/FS-FSC-P-540_2/full/full/0/default.jpg,"Jingdezhen, Jiangxi province, China",late 16th century,Porcelain with cobalt pigment under transparent glaze,,,"Gift of John B. Trevor, Jr.",,,
5186,F1918.25,Disk (bi璧),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1918.25,https://ids.si.edu/ids/iiif/FS-F1918.25_001/full/full/0/default.jpg,"Lake Tai region, China",ca. 3300-2250 BCE,Jade (nephrite),Diam x D: 16.1 x 1.3 cm (6 3/8 x 1/2 in),,Gift of Charles Lang Freer,,,
5187,F1937.17,Bowl stand,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1937.17,https://ids.si.edu/ids/iiif/FS-F1937.17a-b_001/full/full/0/default.jpg,China,11th-early 12th century,Stoneware with celadon glaze,H x Diam: 6.7 × 16.6 cm (2 5/8 × 6 9/16 in),,Purchase — Charles Lang Freer Endowment,,,
5188,F1917.331,Head of Lo-han,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.331,https://ids.si.edu/ids/iiif/FS-7757_12/full/full/0/default.jpg,China,618-907,Stone,H x W x D: 25 × 16.5 × 16.5 cm (9 13/16 × 6 1/2 × 6 1/2 in),,Gift of Charles Lang Freer,,,
5189,F1916.541,Arrangement of Flowers and Objects to Celebrate the Chinese New Year,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.541,https://ids.si.edu/ids/iiif/FS-5717_09/full/full/0/default.jpg,China,ca. 1800,Ink and color on silk,H x W: 89.6 x 58.7 cm (35 1/4 x 23 1/8 in),,Gift of Charles Lang Freer,,,
5190,F1911.492,Two men walking in misty grove,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.492,https://ids.si.edu/ids/iiif/FS-7321_47/full/full/0/default.jpg,China,1368-1644,Ink and color on paper,H x W: 27.5 x 37.2 cm (10 13/16 x 14 5/8 in),Traditionally attributed to Cui Zizhong (died 1644),Gift of Charles Lang Freer,,,
5191,FSC-P-4199,"Fragment,",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-4199,https://ids.si.edu/ids/iiif/FS-FSC-P-4199_1-000001/full/full/0/default.jpg,China,,,H x Diam (overall): 8.1 x 10.6 cm (3 3/16 x 4 3/16 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
5192,F1979.29,Pendant in the form of a fish,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1979.29,https://ids.si.edu/ids/iiif/FS-F1979.29_001/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1300-1050 BCE,Jade (nephrite),H x W x D: 2.1 × 5 × 0.4 cm (13/16 × 2 × 3/16 in),,Purchase — Charles Lang Freer Endowment,,,
5193,S2012.9.168,Axehead (fu),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.168,https://ids.si.edu/ids/iiif/FS-7647_02/full/full/0/default.jpg,China,ca. 5000-ca. 1700 BCE,Jade,H x W x D (overall): 16 x 6.7 x 0.1 cm (6 5/16 x 2 5/8 x 1/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5194,FSC-P-833,"Fragment, veneer part of tile",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-833,https://ids.si.edu/ids/iiif/FS-FSC-P-833_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
5195,F1968.43,Scholar's Dwelling in the Mountains,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1968.43,https://ids.si.edu/ids/iiif/FS-7472_36/full/full/0/default.jpg,China,ca. 1500,Ink and color on silk,H x W (image): 134 x 74 cm (52 3/4 x 29 1/8 in),Formerly attributed to Ma Yuan 馬遠 (active late 12th-early 13th century),Gift of Eugene and Agnes E. Meyer,,,
5196,S2012.9.4681,Two Celestial Ladies,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4681,https://ids.si.edu/ids/iiif/FS-7851_32/full/full/0/default.jpg,China,1368-1644,Ink and color on plaster,H x W (with frame): 66.5 x 40 cm (26 3/16 x 15 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5197,S2012.9.862,Garment hook with ridges,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.862,https://ids.si.edu/ids/iiif/FS-S2012.9.862_001/full/full/0/default.jpg,China,475-221 BCE,Jade (nephrite),H x W x D: 11.7 x 1.9 x 2.2 cm (4 5/8 x 3/4 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5198,FSC-P-656,Fragment of urn,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-656,https://ids.si.edu/ids/iiif/FS-FSC-P-656_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
5199,F1916.571d,Su Dongpo at Red Cliff,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.571d,https://ids.si.edu/ids/iiif/FS-7413_14/full/full/0/default.jpg,China,1644-1911,Ink and color on silk,H x W (image): 24.8 x 28.1 cm (9 3/4 x 11 1/16 in),Formerly attributed to Wang Shen (ca. 1046-after 1100),Gift of Charles Lang Freer,,,
5200,F1914.28a-b,Seated luohan seated with attendant,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.28a-b,https://ids.si.edu/ids/iiif/FS-6273_08/full/full/0/default.jpg,China,1644-1911,Ink and color on silk,H x W (a): 45.3 x 41.2 cm (17 13/16 x 16 1/4 in),Liu Hualiang (late 17th-early 18th century),Gift of Charles Lang Freer,,,
5201,S2012.9.1045,Carving,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1045,https://ids.si.edu/ids/iiif/FS-7644_52/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 12.1 x 3.6 x 0.3 cm (4 3/4 x 1 7/16 x 1/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5202,S1987.204.13,Reminiscences of Nanjing: Colophon,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.204.13,https://ids.si.edu/ids/iiif/FS-8132_25/full/full/0/default.jpg,China,1913,Ink on paper,H x W (image): 23.8 x 19.2 cm (9 3/8 x 7 9/16 in),Yan Shiching (active ca. 1870-1922)Shitao (1642-1707),Gift of Arthur M. Sackler,,,
