title,type,date,credit_line,accession_number,image_download_url
Landscape,Painting,1863,Purchase — Charles Lang Freer Endowment,F1978.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7983_20
Book of prayers,Manuscript,January 1812 (Muharram 1227 A.H.),"Purchase — Smithsonian Unrestricted Trust Funds, Smithsonian Collections Acquisition Program, and Dr. Arthur M. Sackler",S1986.482,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1986.482_001-000001
Buddha Akshobhya,Sculpture,late 14th century,The Alice S. Kandell Collection,S2012.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_10
Buddha Vajradhara,Sculpture,Late 14th-15th century,The Alice S. Kandell Collection,S2012.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7602_30
Buddha Shakyamuni Descending from the Heaven of the 33 Gods,Painting,Late 19th to early 20th century,The Alice S. Kandell Collection,S2013.30,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7621_08
Shri Devi,Sculpture,18th century,The Alice S. Kandell Collection,S2015.28.11a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2015.28.11a-b_001
Buddha Shakyamuni,Sculpture,First half of the 20th century,The Alice S. Kandell Collection,S2015.28.1a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_05
Buddha Shakyamuni,Sculpture,11th-12th century,The Alice S. Kandell Collection,S2015.28.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_07
Buddha Shakyamuni,Sculpture,13th to 14th century,The Alice S. Kandell Collection,S2015.28.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_09
Buddha Shakyamuni,Sculpture,15th century,The Alice S. Kandell Collection,S2015.28.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_11
Bodhisattva,Sculpture,18th century,The Alice S. Kandell Collection,S2016.26,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_15
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_32
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_34
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_36
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2017.36.4_001
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_40
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_42
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.7a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_44
Lama,Sculpture,19th century,The Alice S. Kandell Collection,S2017.55,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_40
Eleven-headed Avalokiteshvara,Sculpture,18th century,The Alice S. Kandell Collection,S2018.29a-i,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7615_12
Buddhist Teacher,Sculpture,First half of the 20th century,The Alice S. Kandell Collection,S2018.48a-e,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7616_06
Buddha Shakyamuni,Sculpture,15th century,The Alice S. Kandell Collection,S2018.49,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_42
Ryokai Mandara (one of a pair with F1966.5),Painting,12th century,Purchase — Charles Lang Freer Endowment,F1966.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7876_04
Ryokai Mandara (one of a pair with F1966.4),Painting,12th century,Purchase — Charles Lang Freer Endowment,F1966.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7876_07
Buddha Amitabha,Sculpture,Second half of the 15th century,The Alice S. Kandell Collection,S2014.19,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_04
Buddha Amitabha,Sculpture,Second half of the 15th century,The Alice S. Kandell Collection,S2014.20,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7602_27
Buddha Shakyamuni,Sculpture,1735-1796,The Alice S. Kandell Collection,S2015.28.6a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7615_01
Folio from aManafi' al-hayawan(Usefulness of animals) by Ibn Bakhtishu (d.1058); recto: Two herons under pendant branches; verso: Four grouses in flight,Manuscript,early 14th century,Purchase -- Charles Lang Freer Endowment,F1927.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6383_04
"Folio from aManafi' al-hayawan(Usefulness of animals) by Ibn Bakhtishu (d.1058); verso: Three hoopoes and a bush with red berries; recto: text, Description of hoopoes and their medicinal properties",Manuscript,early 14th century,Purchase — Charles Lang Freer Endowment,F1928.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7394_17
"Folio from a Qur'an, Sura 48, verse 15",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.61,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8182_02
Folio from aDivan(collected poems) by Hafiz (d. 1390); verso: frontispiece; recto: inscription and seals,Manuscript,1523-24 (930 A.H.),Purchase — Charles Lang Freer Endowment,F1932.46,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7363_38_1
"Folio from aDivan(collected poems) by Hafiz (d. 1390); recto: left-hand half of a double-page frontispiece; verso: text, poem of spiritual love and moral rectitude",Manuscript,1523-24 (930 A.H.),Purchase — Charles Lang Freer Endowment,F1932.47,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7363_38_2
"Folio from aDivan(collected poems) by Hafiz (d. 1390); recto: text, Poem of wisdom of love, beauty, and celebration of time; verso: illustration and text, Feast of 'id",Manuscript,1523-24 (930 A.H.),Purchase — Charles Lang Freer Endowment,F1932.51,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6728_07
Folio from aDivan(collected poems) by Hafiz (d. 1390); recto: Sufi dance; verso: text,Manuscript,1523-24 (930 A.H.),Purchase — Charles Lang Freer Endowment,F1932.54,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1932.54_003
Seated Buddha,Sculpture,12th century,Purchase — Charles Lang Freer Endowment,F1937.29a-d,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1937.29a-d_001
Folio from a Qur'an,Manuscript,1313,Purchase — Charles Lang Freer Endowment,F1937.32,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7340_28
"Folio from a Qur'an, sura 54:13-23",Manuscript,993 (383 A.H.),Purchase — Charles Lang Freer Endowment,F1937.33,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6318_11
Folio from aManafi' al-Hayawan(Usefulness of animals) by Ibn Bakhtishu (died 1058); recto: text and illustration: Two owls perching in a tree; verso: text,Manuscript,early 14th century,Purchase — Charles Lang Freer Endowment,F1944.54,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6383_06
Jurojin and deer,Album,ca. 1880s,Purchase — Charles Lang Freer Endowment,F1975.29.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6416_10
Hotel,Painting,N/A,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.4598,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7718_19
Damjen Garwa Nagpo,Painting,late19th century-early 20th century,The Alice S. Kandell Collection,S2017.54,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7621_12
"Handcuffs, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_17
"Arrow, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_18
"Bow, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_19
"Triangular spoon, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_20
"Wand, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_21
"Axe, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_22
"Sword, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_23
"Axe, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.8,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_24
"Skull club, from a set of tantric ritual implements",Ceremonial Object,19th century to first half of the 20th century,The Alice S. Kandell Collection,S2017.57.9,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7601_25
Wrathful deity riitual crown,Costume and Textile,First half of the 20th century,The Alice S. Kandell Collection,S2017.59a-f,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7615_26
Wrathful deity ritual crown,Costume and Textile,First half of the 20th century,The Alice S. Kandell Collection,S2017.60a-f,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7615_28
Wrathful deity ritual crown,Costume and Textile,First half of the 20th century,The Alice S. Kandell Collection,S2017.61a-f,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7615_30
Vaishravana on a Snow Lion,Sculpture,18th-19th century,The Alice S. Kandell Collection,S2018.34,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_22
"Yellow House, Lannion",Print,1893,Gift of Charles Lang Freer,F1894.15,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7320_09
Vitré:The Canal,Print,1893,Gift of Charles Lang Freer,F1894.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7320_01
"The Market-place, Vitré",Print,1893,Gift of Charles Lang Freer,F1894.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1894.7_001
"Gabled Roofs, Vitré",Print,1893,Gift of Charles Lang Freer,F1894.8,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7320_03
"The Clock-makers, Paimpol",Print,1893,Gift of Charles Lang Freer,F1894.9,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1894.9_001
Early Morning,Print,1878,Gift of Charles Lang Freer,F1896.36,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7448_01
Whistler drawing Poynter; back view of a man seated at a table near a lighted lamp,Drawing,1860,Gift of Charles Lang Freer,F1898.146,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7320_20
Portrait of Whistler,Print,1895,Gift of Charles Lang Freer,F1901.188,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5497_05
After Whistler's Arrangement in Grey: Portrait of the Painter,Print,1874,Gift of Charles Lang Freer,F1903.290,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7454_07
Chelsea Bridge and Church,Print,ca. 1870-1871,Gift of Charles Lang Freer,F1905.165,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5191_07
Price's Candle Factory,Print,ca. 1875,Gift of Charles Lang Freer,F1905.170,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5184_06
Wapping-The Pool,Print,ca. 1879,Gift of Charles Lang Freer,F1905.175,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5501_10
Old Putney Bridge,Print,1879,Gift of Charles Lang Freer,F1905.176,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1905.176_001
Chelsea,Print,1879,Gift of Charles Lang Freer,F1905.177,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5184_08
Hurlingham,Print,1879,Gift of Charles Lang Freer,F1905.178,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5184_09
Regent's Quadrant,Print,1880-1881,Gift of Charles Lang Freer,F1905.196,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1905.196_001
The Little Putney,Print,1879,Gift of Charles Lang Freer,F1905.199,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5185_01
Fitzroy Square,Print,ca. 1892-1894,Gift of Charles Lang Freer,F1905.204,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5229_03
Goldfish (a fragment),Print,1860-1896,Gift of Charles Lang Freer,F1905.317,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6524_05
Count Robert de Montesquiou,Print,1860-1896,Gift of Charles Lang Freer,F1905.318,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6524_06
Count Robert de Montesquiou,Print,1860-1896,Gift of Charles Lang Freer,F1905.319,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6524_07
The Fair,Print,1895-1896,Gift of Charles Lang Freer,F1906.191,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7505_10
Fifth of November,Print,1895,Gift of Charles Lang Freer,F1906.192,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7505_11
An'am: selection of suras from the Qur'an,Manuscript,18th-19th century,Gift of Charles Lang Freer,F1906.305,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7337_16
"A section (juz') of a Qur'an, juz' 26, sura 46-51",Manuscript,14th-15th century,Gift of Charles Lang Freer,F1906.308,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7337_28
"Steel anvil with removable wood handle, formerly owned by Whistler",Tool and Equipment,mid 19th century,Gift of Charles Lang Freer,F1908.237,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8004_14
"Steel hammer, with removable wood handle, formerly owned by Whistler",Tool and Equipment,mid 19th century,Gift of Charles Lang Freer,F1908.238,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8004_15
Sketch of Whistler,Drawing,1880s,Gift of Charles Lang Freer,F1908.244,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5460_08
James McNeill Whistler Seen From Behind,Print,1861-1913,Gift of Charles Lang Freer,F1908.245,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7517_04
James McNeill Whistler Seen From Behind,Print,1896,Gift of Charles Lang Freer,F1908.246,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5460_07
"Vase, of slender tapering form",Vessel,N/A,Gift of Charles Lang Freer,F1909.3a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8345_13
"Bead, with a large bore",Jewelry and Ornament,N/A,Gift of Charles Lang Freer,F1909.980,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8428_08
Reclining ram,Sculpture,N/A,Gift of Charles Lang Freer,F1913.56,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8009_20
Lamp base,Furniture and Furnishing,19th century,Gift of Charles Lang Freer,F1917.209,https://ids.si.edu/ids/deliveryService?max=170&id=FS-3520-22H
"Folio from a Qur'an, sura 21:105-112; sura 22:1-12",Manuscript,9th century,Purchase — Charles Lang Freer Endowment,F1929.71,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6272_10
"Folio from a Qur'an, sura 10:24-31",Manuscript,9th century,Purchase — Charles Lang Freer Endowment,F1929.72,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_11
"Folio from a Qur'an, Sura 48:5-6",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.23,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6317_07
"Folio from a Qur'an, Sura 38:64-69",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.24,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6317_09
"Folio from a Qur'an: Sura 38, verses 87-88; sura 39, verse 1",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.60,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8141_05
"Folio from a Qur'an, Sura 48:27-29",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.62,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5504_05
"Folio from a Qur'an, Sura 48:26-27",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.63,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_15
"Folio from a Qur'an, Sura 48:6-9",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.64,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_16
"Folio from a Qur'an, sura 48:11-13",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.65,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_17
"Folio from a Qur'an, Sura 38:80-86",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.66,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6315_04
"Folio from a Qur'an, sura 49:11-12",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.67,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_18
"Folio from a Qur'an, Sura 49:1-2",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.68,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_19
"Folio from a Qur'an, Sura 48:9-10",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.69,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1930.69-000002
"Folio from a Qur'an, Sura 38:29-31",Manuscript,8th-9th century,Purchase — Charles Lang Freer Endowment,F1930.70,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_21
"Folio from a Qur'an, Sura 34:50-54",Manuscript,First half of the 10th century,Purchase — Charles Lang Freer Endowment,F1932.57,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6318_07
Folio from a Qur'an,Manuscript,9th-10th century,Purchase — Charles Lang Freer Endowment,F1932.62,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8273_23
"Folio from a Qur'an, Sura 13:2-3",Manuscript,10th century,Purchase — Charles Lang Freer Endowment,F1945.17,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6780_07
"Folio from a Qur'an, Sura 26:225-227; Sura 27:1-14",Manuscript,late 8th-early 9th century,Purchase — Charles Lang Freer Endowment,F1945.20,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6319_10
Four Evangelists,Painting,1175-1200,Purchase — Charles Lang Freer Endowment,F1955.11,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1955.11_001
"Lobed bowl with lion, foliage and a ring of raised dots",Vessel,late 6th-early 7th century,Purchase — Charles Lang Freer Endowment,F1997.13,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8086_23
Manuscript fragment from a Qur'an,Manuscript,early 9th century,Purchase — Charles Lang Freer Endowment,F1997.27.1-23a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F97-27
Wine cup with elephant heads on ring handle,Vessel,early 7th century,Purchase — Charles Lang Freer Endowment,F2012.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F2012.1_001
Portrait of Stephen Manuel,Print,circa. 1885,Purchase — Charles Lang Freer Endowment in appreciation of Paul G. Marks and his exemplary service to the Galleries as secretary of the Board of Trustees (2003-2007),FSC-GR-703,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8437_25
"A Catalogue of Blue and White Nankin Porcelain Forming the Collections of Sir Henry Thompson, Illustrated by the autotype process from drawings by James Whistler, Esq. and Sir Henry Thompson",Book,1878,Purchase — Charles Lang Freer Endowment,FSC-GR-784a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-RLS2015.30_001
Three-Legged Cauldron,Vessel,12th-13th century,Gift of Ernst Herzfeld,FSC-M-51,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8521_16
Sherd,Vessel,N/A,"Gift from Mrs. Myron Bement Smith, from the collection of Myron Bement Smith",FSC-P-6878.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-fscp6878.1.v1
Sherd,Vessel,15th-16th century?,"Gift from Mrs. Myron Bement Smith, from the collection of Myron Bement Smith",FSC-P-6878.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSC-P-6878.2_1
Sherd,Vessel,15th-16th century?,"Gift from Mrs. Myron Bement Smith, from the collection of Myron Bement Smith",FSC-P-6878.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-fscp6878.3.v1
"Kata Noi, Phuket",Photograph,1985,Gift of Lois Conner in honor of her Parents,S1995.24,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7408_10
"Folio from a Qur'an, Sura 47:9-15",Calligraphy,9th century,Purchase — Smithsonian Unrestricted Trust Funds,S1997.42,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1997.42_001
"Folio from a Qur'an, Sura 74:56; Sura 75:1",Manuscript,9th century,The Catherine and Ralph Benkaim Collection,S1997.87,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7373_01
"Folio from a Qur'an, Sura 5:95-97",Manuscript,9th century,The Catherine and Ralph Benkaim Collection,S1997.88,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7375_27
"Folio from a Qur'an, sura 22:21-29",Manuscript,9th century,The Catherine and Ralph Benkaim Collection,S1997.89,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7375_28
"Folio from a Qur'an, sura 49:10-11",Manuscript,9th-10th century,The Catherine and Ralph Benkaim Collection,S1997.90,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7375_29
"Folio from a Qur'an, sura 39:10-13",Manuscript,9th-10th century,The Catherine and Ralph Benkaim Collection,S1997.91,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7375_30
"Folio from a Qur'an, sura 4:118-135",Manuscript,9th-10th century,Bequest of Adrienne Minassian,S1998.12,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7376_43
"Folio from a Qur'an, sura 5:44-48",Manuscript,late 9th-early 10th century,Bequest of Adrienne Minassian,S1998.13,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7376_44
"Folio from a Qur'an, sura 82:11-19; sura 83:1-14",Manuscript,late 9th-early 10th century,Bequest of Adrienne Minassian,S1998.14,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7376_45
"Folio from a Qur'an, sura 17:61-72",Manuscript,10th-11th century,Bequest of Adrienne Minassian,S1998.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7376_32
"Folios from a Qur'an, Sura 47:4-12, 38; 48:1-6, 24-25",Manuscript,9th-10th century,Bequest of Adrienne Minassian,S1998.8,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7376_35
Buddha Amoghasiddhi,Sculpture,Late 19th or first half of the 20th century,The Alice S. Kandell Collection,S2012.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_01
Stamp seal,Tool and Equipment,224-651,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.4645,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7672_08
"A Long Wait, from >Border series",Photograph,"2005-2006, printed 2013",Purchase — Jahangir and Eleanor Amuzegar Endowment for Contemporary Iranian Art,S2014.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8530_34
"Deadly Affair, fromBorderseries",Photograph,"2005-2006, printed 2014",Purchase — Jahangir and Eleanor Amuzegar Endowment for Contemporary Iranian Art,S2014.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8530_35
Immortal Arhat Bakula,Sculpture,19th century,The Alice S. Kandell Collection,S2016.27,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7621_03
Amitayus,Sculpture,mid 15th century,The Alice S. Kandell Collection,S2016.32,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_06
Mahasiddha,Sculpture,Late 19th to first half of the 20th century,The Alice S. Kandell Collection,S2016.34,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2016.34_001
"Fragment of a Qur'an, sura 2:191-233",Manuscript,9th-10th century,Purchase — Charles Lang Freer Endowment,F1937.6.1-33,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1937.6.1-33_008b
"Folio from a Qur'an, Sura 5:52-54",Manuscript,11th-12th century,Purchase — Charles Lang Freer Endowment,F1939.56,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8060_01
Folio from a copy ofAja'ib al-makhluqat wa ghara'ib al-mawjudat(The Wonders of Creation and the Oddities of Existence) by Zakariyya ibn Muhammad al-Qazwini (d.1283); recto: Text; verso: Symbol of Mars,Manuscript,early 15th century,Purchase — Charles Lang Freer Endowment,F1954.36,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5110_02
Folio from aAja'ib al-makhluqat(Wonders of Creation) by al-Qazvini,Manuscript,early 15th century,Purchase — Charles Lang Freer Endowment,F1954.53,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8271_16
Folio from aAja'ib al-makhluqat(Wonders of Creation) by al-Qazvini,Manuscript,early 15th century,Purchase — Charles Lang Freer Endowment,F1954.57,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7341_05
Detached folio from aGulistan(Rosegarden) by Sa'di,Manuscript,"Text dated 1468, illumination added early 16th c., paintings repainted ca. 1645",Gift of the Art and History Trust in honor of Ezzat-Malek Soudavar,F1998.5.2-3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7394_48
Folio from aGulistan(Rosegarden) by Sa'di; recto: Sa'di in the rose garden; verso: text,Manuscript,"Dated 1468-69 (873 A.H.), margins added early 16th century, illustrations: Mughal period, ca. 1645",Gift of the Art and History Trust in honor of Ezzat-Malek Soudavar,F1998.5.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6189_08
Folio from a Gulistan (Rosegarden) by Sa'di; recto: A prince riding; verso: text,Manuscript,"Text dated 1468, paintings repainted ca. 1645",Gift of the Art and History Trust in honor of Ezzat-Malek Soudavar,F1998.5.65,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7909_06
Folio from aGulistan(Rosegarden) by Sa'di; recto: text with illuminated border; verso: text with illuminated border,Manuscript,"Text dated 1468, illumination added early 16th c., paintings repainted ca. 1645",Gift of the Art and History Trust in honor of Ezzat-Malek Soudavar,F1998.5.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6189_12
Vase with red luster decoration,Vessel,N/A,Gift of Mr. and Mrs. Clarence Bryan,FSC-P-2653,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSC-P-2653
Sherd,Vessel,15th-16th century?,"Gift from Mrs. Myron Bement Smith, from the collection of Myron Bement Smith",FSC-P-6878.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSC-P-6878.4_1
Kammavācā manuscript,Manuscript,Early 20th century,"Purchase — Smithsonian Unrestricted Trust Funds, Smithsonian Collections Acquisition Program, and Dr. Arthur M. Sackler",S1986.487.1-20,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1986.487.1-20_001
Dagger and sheath,Weapon and Armament,ca. 1790,Purchase — Charles Lang Freer Endowment,F1939.44a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5449_05
Ritual wine container (zun) in the form of an owl with dragons,Vessel,ca. 1100 BCE,Gift of Arthur M. Sackler,S1987.1a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7281_24
